Task,Delegation,Done,Due Date,Owner,Recurring?,Related to Projects Database
多語言翻譯 - 資產管理&基本設定管理,,Yes,05/26/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
多語言翻譯 - 認證與授權&採購管理,,Yes,05/27/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
採購單表頭廠區名稱選項功能,,Yes,05/29/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
多語言翻譯 - 採購單,,Yes,05/26/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
多語言翻譯 - 零件驗收單 Parts Acceptance Form,,Yes,05/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
詢問 EMMA 關於 IDM2 資產編號錯誤問題,,Yes,05/26/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
更改採購單 - 變為一頁呈現 10 筆資料,,Yes,05/27/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[DMS] June Monthly Meeting,,Yes,06/02/2025 8:30 (GMT+8),Keith LI,No,
多語言翻譯 - 調整 UploadPage 顯示 Table 方式,,Yes,05/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
多語言翻譯 - 調整顯示 Table 方式 BasicPropertiesPage - Production Line & BasicPropertiesPage - Asset Status,,Yes,05/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[DMS] Weekly Meeting,,No,11/10/2025 16:00 (GMT+8),Keith LI,Yes,
多語言翻譯 - 零件領用單 Parts Pickup Form,,Yes,05/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
主選單換成 English 後的字形大小更改,,Yes,05/26/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"更近 IDM2 EMMA 切割機無法連線狀況 ",,Yes,05/28/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
李睿晟 第一階段 HR 面試,,Yes,05/29/2025 11:00 (GMT+8),Keith LI,No,
"[ECL] Essential ",,Yes,05/26/2025 21:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
跟 Lilian 講新的面試者 Jimmy 可以找來面試,,Yes,05/28/2025,Keith LI,No,
"[Weekly] Make a weekly English study plan ",,No,11/09/2025,Keith LI,Yes,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,05/28/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
"[ECL] Essential ",,Yes,05/26/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
